Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP
11,11,if _>=59 and _<155:||loaded_suggested_data["rate"]=0.125*loaded_suggested_data["rate"],patientA,180,N/A,0,5,195,5,0,0,0,0,59,N/A,181,N/A,N/A,122,0,0.49,0.96,200,229.2333731,0,0,1,0,0
11,11,if _>=59 and _<155:||loaded_suggested_data["rate"]=0.125*loaded_suggested_data["rate"],patientA,200,N/A,0,15,185,15,0,0,0,0,59,N/A,171,N/A,N/A,112,0,0.48,0.89,200,247.7130234,0,0,1,0,0
11,12,if _>=59 and _<187:||loaded_suggested_data["rate"]=0.125*loaded_suggested_data["rate"],patientA,120,N/A,0,12,188,12,0,0,0,0,59,N/A,188,N/A,N/A,129,0,0.48,0.91,200,275.5009894,0.583333333,0,1,0,0
11,12,if _>=59 and _<187:||loaded_suggested_data["rate"]=0.125*loaded_suggested_data["rate"],patientA,140,N/A,0,13,187,13,0,0,0,0,59,N/A,187,N/A,N/A,128,0,0.48,0.9,200,273.765794,0.461538462,0,1,0,0
11,12,if _>=59 and _<187:||loaded_suggested_data["rate"]=0.125*loaded_suggested_data["rate"],patientA,160,N/A,0,18,182,18,0,0,0,0,59,N/A,182,N/A,N/A,123,0,0.48,0.87,200,269.1313712,0.388888889,0,1,0,0
11,12,if _>=59 and _<187:||loaded_suggested_data["rate"]=0.125*loaded_suggested_data["rate"],patientA,180,N/A,0,22,178,22,0,0,0,0,59,N/A,178,N/A,N/A,119,0,0.47,0.84,200,264.0400269,0.318181818,0,1,0,0
11,12,if _>=59 and _<187:||loaded_suggested_data["rate"]=0.125*loaded_suggested_data["rate"],patientA,200,N/A,0,29,171,29,0,0,0,0,59,N/A,171,N/A,N/A,112,0,0.46,0.79,200,255.978679,0.24137931,0,1,0,0
12,9,if _>=40 and _<61:||loaded_suggested_data["rate"]+=3,patientH,80,N/A,0,18,182,18,0,0,0,0,40,N/A,81,N/A,N/A,41,0,0.48,0.87,200,52.52221721,1,0,1,0,0
12,9,if _>=40 and _<61:||loaded_suggested_data["rate"]+=3,patientH,100,N/A,0,10,190,10,0,0,0,0,40,N/A,89,N/A,N/A,49,0,0.49,0.93,200,57.78330814,1,0,1,0,0
12,9,if _>=40 and _<61:||loaded_suggested_data["rate"]+=3,patientJ,100,N/A,0,9,191,9,0,0,0,0,40,N/A,98,N/A,N/A,58,0,0.49,0.93,200,60.57151784,1,0,1,0,0
