,bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason,LBGI,HBGI,BGI,Label,detection
0,300,305,300.0,-0.1,2.1,0.0,Null,0.0,169.75993762032834,339.5198752406567,0.0,0
1,180,176,300.0,0.1,0.0,2.1,row_37,0.0,169.75993762032834,339.5198752406567,0.0,100
2,180,182,300.0,-0.05,0.0,0.0,row_37,0.0,169.75993762032834,339.5198752406567,0.0,100
3,180,4,300.0,-0.099,0.0,0.0,row_37,0.0,169.75993762032834,339.5198752406567,0.0,100
4,180,187,300.0,-0.149,2.1,0.0,Null,0.0,169.75993762032834,339.5198752406567,0.0,0
5,180,180,300.0000586016097,0.003,2.1,2.1,Null,0.0,169.75994897843267,339.51989795686535,0.0,0
6,180,175,300.0002768232384,0.104,2.1,2.1,Null,0.0,169.7599933446456,339.5199866892912,0.0,0
7,180,169,300.0007848523487,0.254,2.1,2.1,Null,0.0,169.76010046857422,339.52020093714845,0.0,0
8,180,164,299.974282263467,0.354,2.1,2.1,Null,0.0,169.7567593233555,339.513518646711,0.0,0
9,180,161,299.8736192961423,0.451,2.1,2.1,Null,0.0,169.74238029684756,339.4847605936951,0.0,0
10,180,157,299.6380603347114,0.546,2.1,2.1,Null,0.0,169.70571334284045,339.4114266856809,0.0,0
11,180,151,299.1985053486469,0.69,1.55,2.1,Null,0.0,169.63256408140933,339.26512816281866,0.0,0
12,180,150,298.4819008802727,0.73,1.55,1.55,Null,0.0,169.50657577804895,339.0131515560979,0.0,0
13,180,147,297.415015452212,0.818,1.9,1.55,Null,0.0,169.30999261456742,338.61998522913484,0.0,0
14,180,143,295.92769822988754,0.904,1.35,1.9,Null,0.0,169.0243744732357,338.0487489464714,0.0,0
15,180,143,293.96278252535785,0.936,1.7,1.35,Null,0.0,168.63176897570486,337.2635379514097,0.0,0
16,180,143,291.4762851465156,0.966,1.4,1.7,Null,0.0,168.11549085376146,336.2309817075229,0.0,0
17,180,139,288.4330025265549,1.043,1.4,1.4,Null,0.0,167.46036721402217,334.92073442804434,0.0,0
18,180,139,284.8147251284299,1.068,1.4,1.4,Null,0.0,166.65341957667852,333.30683915335703,0.0,0
19,180,139,280.6144575489461,1.09,1.7,1.4,Null,0.0,165.6840200635905,331.368040127181,0.0,0
20,180,137,275.8400583366637,1.16,1.15,1.7,Null,0.0,164.54421976309374,329.08843952618747,0.0,0
21,180,136,270.51258184233404,1.177,1.6,1.15,Null,0.0,163.22891610760806,326.4578322152161,0.0,0
22,180,134,264.66451425241945,1.241,1.15,1.6,Null,0.0,161.73590326266034,323.4718065253207,0.0,0
23,180,135,258.33447521269227,1.253,1.55,1.15,Null,0.0,160.06567079630625,320.1313415926125,0.0,0
24,180,132,251.57290000815763,1.313,1.05,1.55,Null,0.0,158.22152299617855,316.4430459923571,0.0,0
25,180,135,244.4338690728858,1.271,1.5,1.05,Null,0.0,156.20931823231982,312.41863646463963,0.0,0
26,180,132,236.97899074422796,1.327,1.15,1.5,Null,0.0,154.03743153629156,308.0748630725831,0.0,0
27,180,135,229.27024045445128,1.281,1.55,1.15,Null,0.0,151.71643271258017,303.43286542516034,0.0,0
28,180,133,221.37410615803464,1.334,1.1,1.55,Null,0.0,149.25897970672355,298.5179594134471,0.0,0
29,180,135,213.3541812829197,1.286,1.6,1.1,Null,0.0,146.67944333376033,293.35888666752066,0.0,0
30,180,134,205.273867569688,1.336,1.1,1.6,Null,0.0,143.99367868338953,287.98735736677907,0.0,0
31,180,134,197.1908009317756,1.335,1.5,1.1,Null,0.0,141.2186294622896,282.4372589245792,0.0,0
32,180,132,189.16085490045535,1.383,1.15,1.5,Null,0.0,138.37210324163826,276.7442064832765,0.0,0
33,180,135,181.23229095280251,1.329,1.55,1.15,Null,0.0,135.4723831944563,270.9447663889126,0.0,0
34,180,133,173.45046432402722,1.374,1.1,1.55,Null,0.0,132.53800993371573,265.07601986743146,0.0,0
35,180,136,165.85350538801504,1.319,1.6,1.1,Null,0.0,129.58745600263717,259.17491200527434,0.0,0
36,180,134,158.47550081189013,1.363,1.15,1.6,Null,0.0,126.63890394244986,253.27780788489972,0.0,0
37,180,134,151.3430659143439,1.357,1.55,1.15,Null,0.0,123.70996133007004,247.4199226601401,0.0,0
38,180,133,144.4793688741617,1.399,1.1,1.55,Null,0.0,120.8174820245938,241.6349640491876,0.0,0
